"Toska", "Metal", "The Dogtooth Stage", "Sunday"
"Trash Boat", "Punk", "Avalanche Stage", "Saturday"
"Trivium", "Metal", "Main Stage", "Saturday"
"Twelve Foot Ninja", "Metal", "The Dogtooth Stage", "Friday"
"Underoath", "Rock", "Main Stage", "Sunday"
"Underside", "Metal", "The Dogtooth Stage", "Saturday"
"VEGA", "Rock", "The Dogtooth Stage", "Friday"
"Vambo", "Rock", "The Dogtooth Stage", "Saturday"
"Whitechapel", "Metal", "The Dogtooth Stage", "Sunday"
"Whitesnake", "Rock", "Main Stage", "Friday"
"Wolf Jaw", "Rock", "The Dogtooth Stage", "Sunday"
"Wonder Years (The)", "Punk", "Avalanche Stage", "Saturday"
"Yours Truly", "Punk", "Avalanche Stage", "Saturday"
"Zebrahead", "Punk, Indie", "Avalanche Stage", "Friday"
